_id,window_size,percent_overlap,window_type,scaling,mode,resample_method,target_sr,feature_type,gabor_nscales,gabor_norientations,results[0],results[1],results[2],results[3],results[4],results[5],results[6],results[7],results[8],results[9],results[10]
682afdbb0c40404bffd2b246,512,70,blackmanharris,spectrum,magnitude,polyphase,22050,gabor,3,4,1,0.8724856978107982,0.8111195629544504,0.7544014654058552,0.7292752398783297,0.6483203322637932,0.6110610867313702,0.5887826260252408,0.4794181804474538,0.4228069449791763,0.24838720749484083
682afdc6ff92f7d181cde6df,512,90,hann,spectrum,psd,polyphase,22050,gabor,3,4,1,0.8424589472300382,0.795871286477306,0.7512577131254633,0.7092329937732474,0.6410140207652354,0.6052643119719414,0.5607977458308272,0.5156263558269856,0.3756454688830621,0.24501926705317698
682afdcd86f3e652a6710466,2048,80,blackman,density,magnitude,none,22050,gabor,3,4,1,0.8848729527815076,0.803279059983683,0.7650575628858555,0.7291173589730374,0.6919659671140032,0.6602338710548117,0.6149555021097646,0.5463734844970034,0.3858244439333803,0.3082022284892734
682afdce7de9af40cbba2499,1024,70,blackmanharris,spectrum,magnitude,polyphase,22050,gabor,3,4,1,0.8887433523233007,0.8242935292355505,0.8048352917562632,0.7795408682790395,0.7522506073975502,0.7217582072560594,0.6902598087823951,0.6497316468070373,0.5154218459777276,0.3632563450726029
682afdf154d0c0fe0b041687,512,80,blackman,spectrum,magnitude,librosa,22050,gabor,3,4,1,0.8529220207756701,0.815885049757483,0.7852909617957534,0.7525668901672168,0.6730494168351396,0.634149176174201,0.615841977765552,0.5675145816015862,0.4823454824698946,0.24675120218696153
682afe06862bd1a1869afa14,2048,70,blackmanharris,spectrum,psd,none,22050,gabor,3,4,1,0.9210566418204039,0.8336621057477324,0.7777685425132441,0.7316334223133263,0.6963576309132139,0.6545744722288745,0.5913560900731735,0.5194394752457772,0.44836617308830845,0.3844403286983224
682afe0df4729eb2f4b2d37b,2048,90,hann,spectrum,psd,none,22050,gabor,3,4,1,0.8945002416241528,0.8195321597336173,0.7515680503756627,0.711770322629087,0.6799644169665455,0.6432170618268498,0.5922254898812976,0.504717114303465,0.428179411462048,0.34660641411695653
682afe1086f3e652a6710468,2048,80,blackman,density,magnitude,librosa,22050,gabor,3,4,0.9954128440366973,0.8721361591099843,0.8276954473771563,0.7976374959595893,0.769576012858495,0.7458006131203324,0.7169294852341427,0.6908678787929186,0.6553025932217145,0.6013714026043747,0.44815253055133986
682afe1c2192a474061498b4,1024,80,blackman,spectrum,psd,none,22050,gabor,3,4,1,0.8535180483632597,0.801425046278165,0.7445977526140465,0.7024152620578199,0.6722715313839631,0.6352463829422798,0.5885913399125609,0.5396475523409662,0.4175365428707324,0.2926324890960808
682afe29513ce236f9dc2234,1024,90,hann,spectrum,psd,librosa,22050,gabor,3,4,1,0.8912697576273003,0.8172956447706009,0.7500599939022065,0.7098244933771166,0.6798718697976495,0.6426475736540291,0.5923597454972097,0.5022863685214058,0.4246554845478976,0.3180752610911717
682afe2d54d0c0fe0b041689,512,80,blackman,spectrum,magnitude,polyphase,22050,gabor,3,4,1,0.8529220207756701,0.815885049757483,0.7852909617957534,0.7525668901672168,0.6730494168351396,0.634149176174201,0.615841977765552,0.5675145816015862,0.4823454824698946,0.24675120218696153
682afe38862bd1a1869afa16,2048,70,blackmanharris,spectrum,psd,librosa,22050,gabor,3,4,0.9954128440366973,0.8458026634938826,0.7792280696720175,0.7258956983408421,0.6945074477328731,0.6819456032443326,0.6561156141258546,0.6176150419076083,0.5378461153405454,0.3409575500551758,0.267896458871062
682afe4e86f3e652a671046a,2048,80,blackman,density,magnitude,polyphase,22050,gabor,3,4,0.9954128440366973,0.8721361591099843,0.8276954473771563,0.7976374959595893,0.769576012858495,0.7458006131203324,0.7169294852341427,0.6908678787929186,0.6553025932217145,0.6013714026043747,0.44815253055133986
682afe5b2192a474061498b6,1024,80,blackman,spectrum,psd,librosa,22050,gabor,3,4,1,0.910074359550236,0.8027695254058959,0.7472430708599413,0.7142405267649329,0.6600285820450338,0.6187804808346666,0.5678398923632979,0.4957206251054621,0.34933448906594655,0.2528288057496191
682afe66ff92f7d181cde6e1,512,90,hann,spectrum,magnitude,none,22050,gabor,3,4,1,0.7887338584017959,0.700990525648412,0.6760633383094335,0.6446423115963646,0.6145267527509793,0.5721559219860048,0.5257352436743552,0.46655824129887513,0.3304335251746669,0.2541995489233819
682afe6a862bd1a1869afa18,2048,70,blackmanharris,spectrum,psd,polyphase,22050,gabor,3,4,0.9954128440366973,0.8458026634938826,0.7792280696720175,0.7258956983408421,0.6945074477328731,0.6819456032443326,0.6561156141258546,0.6176150419076083,0.5378461153405454,0.3409575500551758,0.267896458871062
682afe7ff4729eb2f4b2d37d,2048,90,hann,spectrum,psd,librosa,22050,gabor,3,4,0.9954128440366973,0.8749085141637761,0.7564161436039444,0.6824009760015696,0.6255894510964214,0.5875032302741298,0.5407791489506859,0.482783542921354,0.4220740816278465,0.3032864305187406,0.2428285968367937
682afe8c54d0c0fe0b04168b,512,80,blackmanharris,density,psd,none,22050,gabor,3,4,1,0.8110180560215605,0.713338649033031,0.6802374154120521,0.640506946650567,0.5971601699378364,0.546984500870792,0.5048953925368448,0.45704598048010403,0.2906590533701969,0.2529765571497452
